amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,score,score_100
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3176924285223732,0.8832556184698851,0.2926358334175106,-0.18188513572116294,1.36,36.0,37.0,38.0,26.0,25.0,34.05,100.0
119094,Axis Midcap Fund - Regular - Growth,0.35102527889035406,0.7305467735561739,0.2607666908004223,-0.20960883862039192,1.38,40.0,32.0,32.0,24.0,28.0,32.8,96.32892804698973
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3243397122906222,0.8082678003905582,0.2719535450128533,-0.16217208574644848,1.38,37.0,34.0,35.0,24.0,20.0,32.2,94.5668135095448
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.33991970400445304,1.068223827231475,0.2698375144191807,-0.11265729075028275,1.46,39.0,40.0,34.0,18.0,8.0,32.0,93.97944199706315
120843,Kotak Flexicap Fund - Regular - Growth,0.2957511058901836,0.965560651744012,0.27330465038306057,-0.1297396816518679,1.45,34.0,39.0,36.0,19.0,13.0,31.3,91.9236417033774
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2666309129954312,0.7116901743847244,0.3033696538698332,-0.2870600572176455,1.43,29.0,28.0,40.0,20.0,36.0,30.3,88.98678414096918
149324,DSP Small Cap Fund - Regular - Growth,0.2699350260734621,0.7144216579881001,0.3005787817097677,-0.31171900300634214,1.52,31.0,29.0,39.0,14.5,37.0,30.224999999999998,88.76651982378854
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.32478927222623,0.7146822636441219,0.2119482701352573,-0.12588275606922517,0.8,38.0,30.0,28.0,29.0,12.0,30.05,88.25256975036712
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2917135767741186,0.9190465356358309,0.2827036785246582,-0.1639674294693263,1.6,33.0,38.0,37.0,4.5,21.0,29.575,86.85756240822322
119551,SBI Bluechip Fund - Regular Plan - Growth,0.3044861306002782,0.8609773262277789,0.23201007160635082,-0.1501238549864533,1.54,35.0,36.0,31.0,10.5,17.0,28.974999999999998,85.09544787077827
118632,Nippon India Large Cap Fund - Regular - Growth,0.22646647456747715,0.7588510310771464,0.21829397904608644,-0.17414075086657232,1.51,27.0,33.0,30.0,16.5,23.0,27.125000000000004,79.66226138032307
149323,DSP Midcap Fund - Regular - Growth,0.26863103668817145,0.8328852279505937,0.26598577542043045,-0.17248105753451382,1.61,30.0,35.0,33.0,3.0,22.0,27.0,79.29515418502203
101206,ABSL Frontline Equity Fund - Regular - Growth,0.28960211096593724,0.7174089959890151,0.21399784776051212,-0.11291596329323073,1.6,32.0,31.0,29.0,4.5,9.0,24.725,72.61380323054333
118633,Nippon India Large Cap Fund - Direct - Growth,0.21084691029380598,0.38882884600017614,0.1564383594816967,-0.18629743138595511,0.72,26.0,20.0,19.0,35.5,26.0,24.525000000000002,72.02643171806169
119552,SBI Bluechip Fund - Direct Plan - Growth,0.16263375081360643,0.6482414723266912,0.1986859936686296,-0.11803493502764295,0.66,18.0,27.0,26.0,37.0,11.0,24.0,70.48458149779736
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.18429918008610047,0.5062729716095972,0.17729754927531766,-0.15200013055606398,0.92,22.0,23.0,25.0,27.0,18.0,23.200000000000003,68.1350954478708
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.18417429266835228,0.4046154783292057,0.1625385327998104,-0.1982565826298267,1.41,21.0,22.0,21.0,22.0,27.0,22.0,64.61086637298091
119093,Axis Bluechip Fund - Direct - Growth,0.20811559826631898,-0.04707325681075903,0.08232801295222093,-0.21751396370148224,0.75,25.0,13.0,13.0,33.0,31.0,21.400000000000002,62.848751835535985
118635,Nippon India ETF Nifty 50 BeES,0.2000321571698329,0.39318819691240475,0.1513635464823924,-0.1165062450540909,0.89,24.0,21.0,18.0,28.0,10.0,21.25,62.40822320117475
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14744434832760533,0.6406730942266666,0.20873010086942337,-0.1527259422823477,1.52,17.0,26.0,27.0,14.5,19.0,21.075,61.89427312775331
102887,UTI Flexi Cap Fund - Regular - Growth,0.25549670172502026,0.3846373345033857,0.16211256794033255,-0.21539827112383225,1.64,28.0,19.0,20.0,1.5,30.0,20.375,59.83847283406756
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.13974980348212673,0.5165503915082109,0.17703302365844073,-0.13897862823061635,1.42,16.0,24.0,24.0,21.0,14.0,20.15,59.1776798825257
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.19662361245910964,0.5197971450361784,0.17048756803412696,-0.1085986215250232,1.57,23.0,25.0,22.0,7.0,7.0,19.299999999999997,56.6813509544787
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11242518737374207,0.1347978410610398,0.11989100971217971,-0.21117279560132118,0.78,15.0,15.0,15.0,31.0,29.0,18.799999999999997,55.21292217327459
118634,Nippon India Small Cap Fund - Regular - Growth,0.080060298597036,0.2923432510109913,0.1750072167561127,-0.2334488614483311,1.53,14.0,18.0,23.0,12.5,32.0,18.375,53.96475770925111
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1803973982038829,0.239663367772852,0.13173190226099432,-0.14844576917771746,1.54,20.0,16.0,17.0,10.5,16.0,16.575,48.6784140969163
120841,Kotak Bluechip Fund - Regular - Growth,0.1726301444443794,0.2551174125622313,0.13042924450705445,-0.1757361416468729,1.59,19.0,17.0,16.0,6.0,24.0,16.45,48.311306901615275
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0775416750547262,-0.058166811414922574,0.0780443887615508,-0.24003511326274884,1.56,13.0,12.0,12.0,8.0,33.0,13.8,40.528634361233486
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.01337083602283895,-0.1361781118297035,0.048824215945539845,-0.5257422117012851,0.72,3.0,10.0,5.0,35.5,40.0,13.725000000000001,40.30837004405287
